Time, RES, VIRT, CPU
2022-03-04 22:51:29.442417, 4444, 2226660, 3060.0
2022-03-04 22:51:30.443990, 4612, 2226660, 3040.0
2022-03-04 22:51:31.443423, 4784, 2226736, 3047.0
2022-03-04 22:51:32.444287, 6956, 2226824, 2333.0
2022-03-04 22:51:33.444948, 7720, 2226796, 2187.0
2022-03-04 22:51:34.443039, 8536, 2226796, 2860.0
2022-03-04 22:51:35.443817, 9408, 2226796, 2607.0
2022-03-04 22:51:36.443326, 9744, 2226796, 2453.0
2022-03-04 22:51:37.442200, 11760, 2226896, 2140.0
2022-03-04 22:51:38.443543, 11592, 2226892, 2760.0
2022-03-04 22:51:39.442928, 10720, 2226844, 1727.0
2022-03-04 22:51:40.445454, 13184, 2226892, 2067.0
2022-03-04 22:51:41.444445, 13016, 2226872, 2653.0
2022-03-04 22:51:42.445769, 10764, 2226828, 2240.0
2022-03-04 22:51:43.442544, 12640, 2227048, 1493.0
2022-03-04 22:51:44.443364, 14220, 2226964, 1760.0
2022-03-04 22:51:45.442713, 15304, 2226948, 2173.0
2022-03-04 22:51:46.444058, 14256, 2226948, 2907.0
2022-03-04 22:51:47.445688, 11248, 2226868, 1893.0
2022-03-04 22:51:48.443673, 13796, 2227252, 1193.0
2022-03-04 22:51:49.443643, 15632, 2227188, 2060.0
2022-03-04 22:51:50.443190, 17952, 2227164, 1880.0
2022-03-04 22:51:51.443705, 16660, 2227164, 2180.0
2022-03-04 22:51:52.444034, 15776, 2227164, 2513.0
2022-03-04 22:51:53.446811, 11548, 2226948, 2340.0
2022-03-04 22:51:54.444159, 11468, 2226980, 1460.0
2022-03-04 22:51:55.443623, 16264, 2227132, 1373.0
2022-03-04 22:51:56.442296, 17284, 2227176, 1440.0
2022-03-04 22:51:57.442443, 19476, 2227352, 1580.0
2022-03-04 22:51:58.443587, 21388, 2227320, 1773.0
2022-03-04 22:51:59.443998, 19364, 2227320, 2213.0
2022-03-04 22:52:00.446175, 18564, 2227320, 2247.0
2022-03-04 22:52:01.446585, 18008, 2227320, 2960.0
2022-03-04 22:52:02.445461, 11772, 2227164, 2133.0
2022-03-04 22:52:03.444198, 12668, 2227164, 1420.0
2022-03-04 22:52:04.443285, 20668, 2227232, 1100.0
2022-03-04 22:52:05.443411, 20868, 2227400, 1447.0
2022-03-04 22:52:06.442818, 20892, 2227408, 1653.0
2022-03-04 22:52:07.451644, 27924, 2228008, 1213.0
2022-03-04 22:52:08.442529, 28564, 2227580, 1760.0
2022-03-04 22:52:09.442413, 27696, 2227580, 1673.0
2022-03-04 22:52:10.443024, 26544, 2227580, 1960.0
2022-03-04 22:52:11.445129, 25856, 2227580, 2400.0
2022-03-04 22:52:12.444624, 22888, 2227580, 2133.0
2022-03-04 22:52:13.444001, 22888, 2227580, 2693.0
2022-03-04 22:52:14.446829, 17616, 2227580, 2373.0
2022-03-04 22:52:15.445430, 14860, 2227580, 1380.0
2022-03-04 22:52:16.443208, 16956, 2227580, 1060.0
2022-03-04 22:52:17.445303, 20884, 2227580, 1420.0
2022-03-04 22:52:18.443483, 23884, 2227580, 1813.0
2022-03-04 22:52:19.443162, 26520, 2227580, 1707.0
2022-03-04 22:52:20.444116, 31608, 2228124, 1187.0
2022-03-04 22:52:21.442965, 34292, 2228668, 1393.0
2022-03-04 22:52:22.445466, 33708, 2228668, 1687.0
2022-03-04 22:52:23.442913, 34780, 2228668, 1647.0
2022-03-04 22:52:24.442889, 31028, 2227676, 2053.0
2022-03-04 22:52:25.442931, 34100, 2227676, 1627.0
2022-03-04 22:52:26.442335, 30104, 2227676, 1980.0
2022-03-04 22:52:27.442297, 26924, 2227676, 2173.0
2022-03-04 22:52:28.444391, 25676, 2227676, 2060.0
2022-03-04 22:52:29.449987, 25076, 2227676, 1881.0
2022-03-04 22:52:30.443286, 25076, 2227676, 2393.0
2022-03-04 22:52:31.446004, 21236, 2227676, 2047.0
2022-03-04 22:52:32.442852, 19244, 2227676, 1320.0
2022-03-04 22:52:33.442265, 19960, 2227676, 1147.0
2022-03-04 22:52:34.442631, 22872, 2227676, 1733.0
2022-03-04 22:52:35.443710, 27152, 2227840, 1160.0
2022-03-04 22:52:36.442888, 28720, 2227772, 1207.0
2022-03-04 22:52:37.443209, 31356, 2227772, 1100.0
2022-03-04 22:52:38.442855, 37416, 2228004, 840.0
2022-03-04 22:52:39.442839, 38000, 2227892, 1053.0
2022-03-04 22:52:40.442605, 35268, 2228112, 1547.0
2022-03-04 22:52:41.442808, 36728, 2228112, 1567.0
2022-03-04 22:52:42.442845, 35884, 2227848, 1487.0
2022-03-04 22:52:43.452588, 36944, 2227848, 1793.0
2022-03-04 22:52:44.444531, 39444, 2227848, 2007.0
2022-03-04 22:52:45.442321, 43956, 2228604, 2200.0
2022-03-04 22:52:46.443720, 35772, 2227820, 2140.0
2022-03-04 22:52:47.443017, 34988, 2227820, 1980.0
2022-03-04 22:52:48.443376, 34608, 2227956, 1787.0
2022-03-04 22:52:49.442830, 33976, 2227956, 2193.0
2022-03-04 22:52:50.443041, 32836, 2227956, 1947.0
2022-03-04 22:52:51.444718, 31504, 2227956, 1707.0
2022-03-04 22:52:52.445506, 31504, 2227956, 2107.0
2022-03-04 22:52:53.443734, 31504, 2227956, 1693.0
2022-03-04 22:52:54.444594, 31504, 2227956, 2247.0
2022-03-04 22:52:55.442897, 18280, 2227300, 2133.0
2022-03-04 22:52:56.442726, 16300, 2227300, 1473.0
2022-03-04 22:52:57.442515, 19120, 2227300, 1080.0
2022-03-04 22:52:58.443083, 22432, 2227572, 1547.0
2022-03-04 22:52:59.442386, 26648, 2227844, 866.7
2022-03-04 22:53:00.442297, 28448, 2227844, 1313.0
2022-03-04 22:53:01.447480, 29812, 2227844, 1667.0
2022-03-04 22:53:02.443120, 35132, 2227880, 1487.0
2022-03-04 22:53:03.442437, 39428, 2228016, 886.7
2022-03-04 22:53:04.442814, 41680, 2228052, 1720.0
2022-03-04 22:53:05.442759, 41096, 2227700, 1233.0
2022-03-04 22:53:06.442284, 42104, 2227920, 1400.0
2022-03-04 22:53:07.455547, 40164, 2227664, 1500.0
2022-03-04 22:53:08.445311, 42308, 2228060, 1113.0
2022-03-04 22:53:09.443543, 41568, 2227608, 1860.0
2022-03-04 22:53:10.442886, 47028, 2228968, 1447.0
2022-03-04 22:53:11.442436, 58364, 2228900, 1600.0
2022-03-04 22:53:12.442857, 65024, 2229560, 1193.0
2022-03-04 22:53:13.443083, 65512, 2229116, 2013.0
2022-03-04 22:53:14.442828, 59772, 2229116, 1847.0
2022-03-04 22:53:15.442789, 60036, 2229116, 1993.0
2022-03-04 22:53:16.443035, 54256, 2228408, 1587.0
2022-03-04 22:53:17.442860, 55040, 2228408, 2007.0
2022-03-04 22:53:18.442819, 54812, 2228408, 2227.0
2022-03-04 22:53:19.442698, 55600, 2228628, 2020.0
2022-03-04 22:53:20.442707, 51876, 2228628, 1873.0
2022-03-04 22:53:21.442301, 49540, 2228628, 1893.0
2022-03-04 22:53:22.444004, 48972, 2227332, 2133.0
2022-03-04 22:53:23.442529, 48972, 2227604, 1973.0
2022-03-04 22:53:24.442239, 48972, 2227604, 2027.0
2022-03-04 22:53:25.445859, 48072, 2227604, 1787.0
2022-03-04 22:53:26.442692, 48072, 2227604, 2773.0
2022-03-04 22:53:27.442841, 31216, 2227604, 2167.0
2022-03-04 22:53:28.444244, 27332, 2227604, 1287.0
2022-03-04 22:53:29.444820, 27596, 2227604, 1720.0
2022-03-04 22:53:30.442858, 30216, 2227604, 1160.0
2022-03-04 22:53:31.442886, 33104, 2227756, 973.3
2022-03-04 22:53:32.442331, 34676, 2227756, 1800.0
2022-03-04 22:53:33.442944, 35464, 2227936, 1013.0
2022-03-04 22:53:34.443136, 38364, 2228812, 920.0
2022-03-04 22:53:35.442867, 47328, 2228812, 1600.0
2022-03-04 22:53:36.443662, 52076, 2228812, 926.7
2022-03-04 22:53:37.442829, 54188, 2228812, 2033.0
2022-03-04 22:53:38.442880, 54952, 2228820, 1340.0
2022-03-04 22:53:39.442903, 57584, 2228956, 1433.0
2022-03-04 22:53:40.442212, 59612, 2228956, 1800.0
2022-03-04 22:53:41.442837, 57552, 2228956, 1267.0
2022-03-04 22:53:42.442733, 59124, 2228956, 1380.0
2022-03-04 22:53:43.442221, 58196, 2228956, 1780.0
2022-03-04 22:53:44.442979, 60252, 2229024, 1480.0
2022-03-04 22:53:45.443159, 67364, 2229280, 1320.0
2022-03-04 22:53:46.442296, 70476, 2229884, 1100.0
2022-03-04 22:53:47.442734, 74944, 2229000, 2387.0
2022-03-04 22:53:48.445684, 76304, 2229520, 1313.0
2022-03-04 22:53:49.443107, 66716, 2228864, 2080.0
2022-03-04 22:53:50.442869, 69148, 2228864, 1720.0
2022-03-04 22:53:51.442886, 71788, 2229196, 2080.0
2022-03-04 22:53:52.442181, 72104, 2229308, 1767.0
2022-03-04 22:53:53.442833, 69212, 2229308, 1567.0
2022-03-04 22:53:54.442235, 68400, 2229308, 1847.0
2022-03-04 22:53:55.445376, 69560, 2229260, 1553.0
2022-03-04 22:53:56.443876, 64184, 2228788, 2447.0
2022-03-04 22:53:57.443347, 66292, 2228788, 2553.0
2022-03-04 22:53:58.443361, 69716, 2228788, 2327.0
2022-03-04 22:53:59.442988, 69716, 2228788, 1933.0
2022-03-04 22:54:00.443825, 62188, 2227816, 1820.0
2022-03-04 22:54:01.442733, 62224, 2227952, 2027.0
2022-03-04 22:54:02.444516, 61172, 2227952, 1727.0
2022-03-04 22:54:03.442745, 61172, 2227952, 1847.0
2022-03-04 22:54:04.443252, 58944, 2227952, 1813.0
2022-03-04 22:54:05.442773, 58944, 2227952, 1580.0
2022-03-04 22:54:06.442196, 56764, 2227952, 1973.0
2022-03-04 22:54:07.442223, 56764, 2227952, 1760.0
2022-03-04 22:54:08.442810, 56764, 2227952, 1673.0
2022-03-04 22:54:09.444551, 56764, 2227952, 2053.0
2022-03-04 22:54:10.442946, 56764, 2227952, 2247.0
2022-03-04 22:54:11.442284, 44136, 2227952, 2220.0
2022-03-04 22:54:12.442218, 31600, 2227952, 1313.0
2022-03-04 22:54:13.442172, 31600, 2227952, 1800.0
2022-03-04 22:54:14.443726, 33748, 2227952, 1027.0
2022-03-04 22:54:15.442701, 35420, 2227952, 1133.0
2022-03-04 22:54:16.442384, 38280, 2227952, 1213.0
2022-03-04 22:54:17.442859, 38280, 2227952, 880.0
2022-03-04 22:54:18.442718, 38580, 2227952, 1587.0
2022-03-04 22:54:19.442771, 44624, 2228824, 773.3
2022-03-04 22:54:20.442315, 53176, 2228888, 1073.0
2022-03-04 22:54:21.442768, 58592, 2228888, 1493.0
2022-03-04 22:54:22.442331, 58768, 2228888, 1873.0
2022-03-04 22:54:23.442217, 59400, 2229040, 1133.0
2022-03-04 22:54:24.442815, 62220, 2229040, 1300.0
2022-03-04 22:54:25.442827, 63276, 2229272, 953.3
2022-03-04 22:54:26.442851, 61852, 2228364, 1353.0
2022-03-04 22:54:27.442320, 63408, 2229180, 1287.0
2022-03-04 22:54:28.443088, 65516, 2229180, 973.3
2022-03-04 22:54:29.442989, 66572, 2229180, 1220.0
2022-03-04 22:54:30.442628, 63600, 2229040, 2333.0
2022-03-04 22:54:31.442485, 69944, 2230120, 826.7
2022-03-04 22:54:32.442409, 76124, 2230256, 1687.0
2022-03-04 22:54:33.442685, 81372, 2229524, 926.7
2022-03-04 22:54:34.442809, 82720, 2229644, 1627.0
2022-03-04 22:54:35.442157, 85172, 2229780, 1720.0
2022-03-04 22:54:36.442470, 86672, 2229508, 740.0
2022-03-04 22:54:37.442277, 87128, 2230068, 1927.0
2022-03-04 22:54:38.443101, 79436, 2230236, 2193.0
2022-03-04 22:54:39.442853, 80720, 2229204, 1427.0
2022-03-04 22:54:40.442248, 82836, 2229892, 1293.0
2022-03-04 22:54:41.442766, 83000, 2229620, 1867.0
2022-03-04 22:54:42.455290, 83872, 2229756, 1840.0
2022-03-04 22:54:43.442096, 80148, 2229756, 1933.0
2022-03-04 22:54:44.442779, 82148, 2229672, 1340.0
2022-03-04 22:54:45.442201, 82952, 2229936, 2560.0
2022-03-04 22:54:46.442160, 83340, 2229344, 1953.0
2022-03-04 22:54:47.442143, 78440, 2229024, 2113.0
2022-03-04 22:54:48.442137, 78748, 2229268, 2640.0
2022-03-04 22:54:49.442340, 79724, 2229268, 1087.0
2022-03-04 22:54:50.442281, 83680, 2230084, 2780.0
2022-03-04 22:54:51.442265, 86184, 2229404, 2447.0
2022-03-04 22:54:52.442343, 89860, 2229872, 2200.0
2022-03-04 22:54:53.442768, 88292, 2229872, 2000.0
2022-03-04 22:54:54.442230, 74352, 2229872, 1813.0
2022-03-04 22:54:55.442264, 74616, 2229872, 1840.0
2022-03-04 22:54:56.442187, 75404, 2229872, 2133.0
2022-03-04 22:54:57.442700, 72220, 2229872, 2180.0
2022-03-04 22:54:58.443233, 71956, 2229872, 2000.0
2022-03-04 22:54:59.442768, 72216, 2229872, 1807.0
2022-03-04 22:55:00.442920, 72216, 2229872, 2140.0
2022-03-04 22:55:01.443364, 71064, 2228332, 2773.0
2022-03-04 22:55:02.442739, 71064, 2228604, 2467.0
2022-03-04 22:55:03.442841, 69328, 2228604, 2020.0
2022-03-04 22:55:04.442940, 67472, 2228604, 1773.0
2022-03-04 22:55:05.442749, 67472, 2228604, 2240.0
2022-03-04 22:55:06.442237, 67472, 2228604, 2020.0
2022-03-04 22:55:07.442159, 67472, 2228604, 1453.0
2022-03-04 22:55:08.444501, 67472, 2228604, 1600.0
2022-03-04 22:55:09.442300, 67472, 2228604, 1600.0
2022-03-04 22:55:10.442109, 67472, 2228604, 2127.0
2022-03-04 22:55:11.442322, 67472, 2228604, 1147.0
2022-03-04 22:55:12.442725, 30448, 2227296, 2153.0
2022-03-04 22:55:13.442263, 26036, 2227296, 1300.0
2022-03-04 22:55:14.442169, 26300, 2227296, 1793.0
2022-03-04 22:55:15.442762, 28912, 2227568, 1047.0
2022-03-04 22:55:16.442701, 29688, 2227568, 1113.0
2022-03-04 22:55:17.442771, 33096, 2227888, 1007.0
2022-03-04 22:55:18.442068, 33356, 2227888, 1140.0
2022-03-04 22:55:19.442837, 34676, 2228208, 1007.0
2022-03-04 22:55:20.442769, 39156, 2228208, 1153.0
2022-03-04 22:55:21.442444, 47204, 2229524, 1180.0
2022-03-04 22:55:22.442398, 55116, 2229524, 1393.0
2022-03-04 22:55:23.442858, 56792, 2229524, 1413.0
2022-03-04 22:55:24.442319, 54232, 2228844, 1627.0
2022-03-04 22:55:25.442953, 59348, 2228980, 1007.0
2022-03-04 22:55:26.442330, 60920, 2228980, 1007.0
2022-03-04 22:55:27.442272, 65188, 2228980, 1133.0
2022-03-04 22:55:28.442318, 64480, 2228980, 1927.0
2022-03-04 22:55:29.442974, 65048, 2228980, 933.3
2022-03-04 22:55:30.442948, 68136, 2229128, 906.7
2022-03-04 22:55:31.442937, 69648, 2229128, 946.7
2022-03-04 22:55:32.443465, 68916, 2229284, 1600.0
2022-03-04 22:55:33.442915, 68744, 2229352, 1460.0
2022-03-04 22:55:34.443637, 78392, 2229336, 1427.0
2022-03-04 22:55:35.442986, 84396, 2230136, 1533.0
2022-03-04 22:55:36.443255, 90248, 2230136, 446.7
2022-03-04 22:55:37.442693, 92732, 2230680, 2300.0
2022-03-04 22:55:38.442968, 98908, 2231548, 1913.0
2022-03-04 22:55:39.443062, 108280, 2231548, 366.7
2022-03-04 22:55:40.443125, 112236, 2231548, 1787.0
2022-03-04 22:55:41.442317, 114612, 2231548, 1527.0
2022-03-04 22:55:42.442948, 107248, 2231548, 1747.0
2022-03-04 22:55:43.443178, 108080, 2231548, 1847.0
2022-03-04 22:55:44.443012, 111776, 2231548, 693.3
2022-03-04 22:55:45.443550, 113620, 2231548, 2053.0
2022-03-04 22:55:46.442596, 115732, 2231548, 1207.0
2022-03-04 22:55:47.443113, 117312, 2231548, 1793.0
2022-03-04 22:55:48.444415, 119684, 2231548, 2300.0
2022-03-04 22:55:49.443686, 111324, 2231548, 2387.0
2022-03-04 22:55:50.443177, 111600, 2231548, 1780.0
2022-03-04 22:55:51.442768, 111864, 2231548, 2653.0
2022-03-04 22:55:52.442619, 114540, 2230328, 1373.0
2022-03-04 22:55:53.443003, 117444, 2231160, 1593.0
2022-03-04 22:55:54.442611, 117968, 2231160, 2093.0
2022-03-04 22:55:55.443392, 118496, 2231160, 2280.0
2022-03-04 22:55:56.443245, 116548, 2231160, 2180.0
2022-03-04 22:55:57.442660, 118184, 2231160, 2420.0
2022-03-04 22:55:58.442503, 122400, 2231160, 2340.0
2022-03-04 22:55:59.442900, 126888, 2231160, 1833.0
2022-03-04 22:56:00.442712, 130848, 2231160, 1900.0
2022-03-04 22:56:01.442603, 131496, 2231680, 1387.0
2022-03-04 22:56:02.443419, 135080, 2231680, 1060.0
2022-03-04 22:56:03.443627, 136480, 2231680, 2833.0
2022-03-04 22:56:04.442596, 139376, 2231680, 1220.0
2022-03-04 22:56:05.444201, 137780, 2231680, 2187.0
2022-03-04 22:56:06.443659, 129864, 2231680, 2033.0
2022-03-04 22:56:07.442764, 116276, 2231680, 1773.0
2022-03-04 22:56:08.443083, 113980, 2231680, 2460.0
2022-03-04 22:56:09.442859, 111812, 2231680, 2007.0
2022-03-04 22:56:10.443253, 111812, 2231680, 1193.0
2022-03-04 22:56:11.443385, 109576, 2231680, 1973.0
2022-03-04 22:56:12.443695, 104548, 2231680, 2433.0
2022-03-04 22:56:13.442647, 104808, 2231680, 1780.0
2022-03-04 22:56:14.443028, 105860, 2231680, 2247.0
2022-03-04 22:56:15.442593, 107444, 2231680, 1927.0
2022-03-04 22:56:16.443278, 100668, 2229424, 2500.0
2022-03-04 22:56:17.442856, 100668, 2229424, 2553.0
2022-03-04 22:56:18.442980, 102244, 2229424, 2187.0
2022-03-04 22:56:19.443704, 102508, 2229424, 2253.0
2022-03-04 22:56:20.443162, 103824, 2229424, 1973.0
2022-03-04 22:56:21.442818, 103824, 2229424, 1780.0
2022-03-04 22:56:22.442261, 101932, 2229424, 1927.0
2022-03-04 22:56:23.443225, 101932, 2229424, 2087.0
2022-03-04 22:56:24.443020, 99776, 2229424, 2267.0
2022-03-04 22:56:25.443019, 99776, 2229424, 2293.0
2022-03-04 22:56:26.445554, 99776, 2229424, 2020.0
2022-03-04 22:56:27.442900, 99776, 2229424, 2253.0
2022-03-04 22:56:28.443099, 100304, 2229424, 1960.0
2022-03-04 22:56:29.442840, 100304, 2229424, 1767.0
2022-03-04 22:56:30.443166, 100304, 2229424, 1320.0
2022-03-04 22:56:31.443974, 100304, 2229424, 1773.0
2022-03-04 22:56:32.442597, 100304, 2229424, 2020.0
2022-03-04 22:56:33.443262, 100304, 2229424, 1660.0
2022-03-04 22:56:34.443533, 100304, 2229424, 1373.0
2022-03-04 22:56:35.442446, 100304, 2229424, 2913.0
2022-03-04 22:56:36.445218, 61796, 2229424, 2160.0
2022-03-04 22:56:37.446451, 47584, 2227352, 1473.0
2022-03-04 22:56:38.442402, 47584, 2227352, 1320.0
2022-03-04 22:56:39.442878, 48892, 2227656, 1067.0
2022-03-04 22:56:40.442922, 49152, 2227656, 1640.0
2022-03-04 22:56:41.443183, 49936, 2227860, 1107.0
2022-03-04 22:56:42.442305, 51516, 2228332, 1840.0
2022-03-04 22:56:43.443063, 52300, 2228332, 1033.0
2022-03-04 22:56:44.442348, 52828, 2228332, 1813.0
2022-03-04 22:56:45.443219, 56784, 2229440, 646.7
2022-03-04 22:56:46.442751, 64432, 2229440, 593.3
2022-03-04 22:56:47.443303, 67860, 2229440, 846.7
2022-03-04 22:56:48.443176, 68912, 2229440, 673.3
